t,USA ,CAN ,WEU ,JPK ,ANZ ,EEU ,FSU ,MDE ,CAM ,SAM ,SAS ,SEA ,CHI ,NAF ,SSA ,SIS 
1950,0.66,0.6,0.6,1.42,1.05,0.8,1.21,2.75,1.12,0.97,1.76,1.65,1.23,1.23,1.53,1.25
1960,0.74,0.7,0.59,1.16,1.06,0.7,1.03,1.91,1.08,0.98,1.51,1.33,0.46,1.32,1.36,1.02
1970,0.71,0.68,0.59,0.79,1.11,0.65,1,1.41,1.15,1.01,1.39,1.03,0.62,1.06,1.17,0.87
1980,0.79,0.73,0.65,0.86,1.11,0.66,0.99,1.34,1.04,1.09,1.14,1.08,0.6,0.99,1.1,0.85
1990,0.96,0.98,0.9,1.04,0.98,0.86,1.2,1.09,1.01,1.04,1.02,1.11,0.81,1.04,0.99,1.06
2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2020,1.21,1.2,1.2,1.17,1.2,1.26,1.19,1.14,1.22,1.2,1.25,1.21,1.37,1.2,1.23,1.17
2030,1.37,1.36,1.35,1.33,1.36,1.7,1.61,1.51,1.51,1.49,1.66,1.61,1.82,1.49,1.52,1.44
2040,1.54,1.53,1.53,1.5,1.53,2.16,2.05,1.88,1.82,1.8,2.06,2,2.26,1.8,1.84,1.74
2050,1.71,1.69,1.69,1.66,1.69,2.63,2.49,2.23,2.14,2.12,2.45,2.37,2.68,2.12,2.16,2.05
2060,1.84,1.83,1.82,1.79,1.83,3.04,2.88,2.5,2.41,2.39,2.75,2.66,3.01,2.39,2.43,2.31
2070,1.99,1.98,1.97,1.93,1.98,3.5,3.32,2.79,2.74,2.71,3.07,2.98,3.36,2.71,2.77,2.62
2080,2.16,2.15,2.14,2.1,2.15,4.03,3.82,3.11,3.18,3.14,3.41,3.31,3.74,3.14,3.2,3.04
2090,2.36,2.34,2.33,2.29,2.34,4.64,4.39,3.44,3.71,3.67,3.78,3.67,4.14,3.67,3.74,3.55
2100,2.56,2.54,2.53,2.49,2.54,5.24,4.96,3.76,4.23,4.18,4.14,4.02,4.53,4.18,4.26,4.04
2110,2.76,2.73,2.73,2.68,2.73,5.78,5.47,4.05,4.66,4.61,4.46,4.32,4.88,4.61,4.7,4.45
2120,2.96,2.94,2.93,2.87,2.94,6.34,6,4.35,5.11,5.05,4.78,4.64,5.24,5.05,5.15,4.89
2130,3.17,3.14,3.13,3.08,3.14,6.91,6.54,4.66,5.58,5.52,5.12,4.97,5.61,5.52,5.62,5.33
2140,3.39,3.36,3.35,3.29,3.36,7.51,7.11,4.98,6.06,5.99,5.47,5.31,5.99,5.99,6.11,5.79
2150,3.61,3.58,3.57,3.5,3.58,8.11,7.68,5.31,6.54,6.47,5.83,5.66,6.39,6.47,6.6,6.26
2160,3.84,3.81,3.79,3.72,3.81,8.72,8.26,5.64,7.04,6.96,6.2,6.02,6.79,6.96,7.09,6.73
2170,4.07,4.04,4.02,3.95,4.04,9.33,8.83,5.98,7.53,7.44,6.58,6.38,7.2,7.44,7.59,7.2
2180,4.3,4.27,4.26,4.18,4.27,9.93,9.4,6.33,8.01,7.92,6.96,6.75,7.62,7.92,8.08,7.66
2190,4.54,4.51,4.49,4.41,4.5,10.52,9.96,6.68,8.49,8.39,7.34,7.12,8.04,8.39,8.56,8.11
2200,4.78,4.74,4.73,4.64,4.74,11.09,10.5,7.03,8.95,8.85,7.73,7.5,8.46,8.85,9.02,8.55
2210,5.02,4.98,4.97,4.88,4.98,11.66,11.03,7.39,9.4,9.3,8.12,7.88,8.89,9.3,9.48,8.99
2220,5.28,5.24,5.22,5.13,5.24,12.26,11.6,7.76,9.89,9.78,8.54,8.29,9.35,9.78,9.96,9.45
2230,5.55,5.51,5.49,5.39,5.51,12.88,12.19,8.16,10.39,10.28,8.98,8.71,9.82,10.28,10.47,9.93
2240,5.83,5.79,5.77,5.66,5.79,13.54,12.82,8.58,10.92,10.8,9.43,9.15,10.33,10.8,11.01,10.44
2250,6.13,6.09,6.07,5.95,6.08,14.23,13.47,9.02,11.48,11.35,9.92,9.62,10.86,11.35,11.57,10.98
2260,6.45,6.4,6.38,6.26,6.4,14.96,14.16,9.48,12.07,11.93,10.42,10.11,11.41,11.93,12.17,11.54
2270,6.78,6.72,6.7,6.58,6.72,15.73,14.88,9.96,12.69,12.54,10.96,10.63,11.99,12.54,12.79,12.13
2280,7.12,7.07,7.04,6.91,7.07,16.53,15.64,10.47,13.33,13.19,11.52,11.18,12.61,13.19,13.44,12.75
2290,7.49,7.43,7.41,7.27,7.43,17.38,16.44,11.01,14.02,13.86,12.11,11.75,13.25,13.86,14.13,13.4
2300,7.87,7.81,7.78,7.64,7.81,18.26,17.29,11.57,14.73,14.57,12.73,12.35,13.93,14.57,14.85,14.08
