t,USA ,CAN ,WEU ,JPK ,ANZ ,EEU ,FSU ,MDE ,CAM ,SAM ,SAS ,SEA ,CHI ,NAF ,SSA ,SIS 
1950,0.66,0.6,0.6,1.42,1.05,0.8,1.21,2.75,1.12,0.97,1.76,1.65,1.23,1.23,1.53,1.25
1960,0.74,0.7,0.59,1.16,1.06,0.7,1.03,1.91,1.08,0.98,1.51,1.33,0.46,1.32,1.36,1.02
1970,0.71,0.68,0.59,0.79,1.11,0.65,1,1.41,1.15,1.01,1.39,1.03,0.62,1.06,1.17,0.87
1980,0.79,0.73,0.65,0.86,1.11,0.66,0.99,1.34,1.04,1.09,1.14,1.08,0.6,0.99,1.1,0.85
1990,0.96,0.98,0.9,1.04,0.98,0.86,1.2,1.09,1.01,1.04,1.02,1.11,0.81,1.04,0.99,1.06
2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2020,1.2,1.19,1.19,1.16,1.19,1.23,1.15,1.09,1.2,1.19,1.2,1.16,1.31,1.19,1.21,1.15
2030,1.35,1.34,1.33,1.31,1.34,1.58,1.49,1.33,1.47,1.45,1.46,1.42,1.6,1.45,1.48,1.4
2040,1.47,1.46,1.45,1.43,1.46,1.9,1.8,1.55,1.71,1.69,1.71,1.66,1.87,1.69,1.72,1.63
2050,1.55,1.53,1.53,1.5,1.53,2.11,2,1.67,1.79,1.77,1.84,1.78,2.01,1.77,1.81,1.72
2060,1.64,1.63,1.63,1.6,1.63,2.4,2.27,1.86,1.92,1.9,2.05,1.98,2.24,1.9,1.94,1.84
2070,1.77,1.75,1.75,1.72,1.75,2.83,2.68,2.17,2.16,2.13,2.38,2.31,2.61,2.13,2.18,2.06
2080,2,1.99,1.98,1.94,1.99,3.74,3.54,2.85,2.72,2.69,3.13,3.04,3.43,2.69,2.74,2.6
2090,2.1,2.08,2.08,2.04,2.08,4.35,4.12,3.31,3.03,2.99,3.64,3.53,3.98,2.99,3.05,2.89
2100,2.11,2.09,2.08,2.05,2.09,4.5,4.26,3.43,3.09,3.05,3.77,3.66,4.13,3.05,3.11,2.95
2110,2.22,2.2,2.19,2.15,2.2,4.73,4.48,3.6,3.24,3.21,3.96,3.84,4.34,3.21,3.27,3.1
2120,2.33,2.31,2.3,2.26,2.31,4.97,4.71,3.79,3.41,3.37,4.16,4.04,4.56,3.37,3.44,3.26
2130,2.45,2.43,2.42,2.38,2.43,5.23,4.95,3.98,3.58,3.54,4.38,4.25,4.79,3.54,3.61,3.43
2140,2.57,2.55,2.54,2.5,2.55,5.5,5.2,4.18,3.77,3.72,4.6,4.46,5.04,3.72,3.8,3.6
2150,2.7,2.68,2.67,2.63,2.68,5.78,5.47,4.4,3.96,3.91,4.84,4.69,5.29,3.91,3.99,3.78
2160,2.84,2.82,2.81,2.76,2.82,6.07,5.75,4.62,4.16,4.11,5.08,4.93,5.56,4.12,4.19,3.98
2170,2.99,2.96,2.96,2.9,2.96,6.38,6.04,4.86,4.37,4.33,5.34,5.18,5.85,4.33,4.41,4.18
2180,3.14,3.12,3.11,3.05,3.12,6.71,6.35,5.11,4.6,4.55,5.62,5.45,6.15,4.55,4.63,4.4
2190,3.3,3.28,3.27,3.2,3.28,7.05,6.68,5.37,4.83,4.78,5.9,5.73,6.46,4.78,4.87,4.62
2200,3.47,3.44,3.43,3.37,3.44,7.41,7.02,5.64,5.08,5.02,6.21,6.02,6.79,5.02,5.12,4.86
2210,3.65,3.62,3.61,3.54,3.62,7.79,7.38,5.93,5.34,5.28,6.52,6.33,7.14,5.28,5.38,5.1
2220,3.83,3.8,3.79,3.72,3.8,8.19,7.75,6.23,5.61,5.55,6.86,6.65,7.51,5.55,5.66,5.37
2230,4.03,4,3.99,3.91,4,8.61,8.15,6.55,5.9,5.83,7.21,6.99,7.89,5.83,5.95,5.64
2240,4.24,4.2,4.19,4.11,4.2,9.05,8.57,6.89,6.2,6.13,7.58,7.35,8.29,6.13,6.25,5.93
2250,4.45,4.42,4.4,4.32,4.42,9.51,9,7.24,6.52,6.45,7.96,7.73,8.72,6.45,6.57,6.23
2260,4.68,4.64,4.63,4.54,4.64,10,9.46,7.61,6.85,6.78,8.37,8.12,9.16,6.78,6.91,6.55
2270,4.92,4.88,4.87,4.78,4.88,10.51,9.95,8,7.2,7.12,8.8,8.54,9.63,7.12,7.26,6.89
2280,5.17,5.13,5.11,5.02,5.13,11.05,10.46,8.41,7.57,7.49,9.25,8.97,10.12,7.49,7.63,7.24
2290,5.44,5.39,5.38,5.28,5.39,11.61,10.99,8.84,7.96,7.87,9.72,9.43,10.64,7.87,8.02,7.61
2300,5.71,5.67,5.65,5.55,5.67,12.21,11.55,9.29,8.37,8.27,10.22,9.92,11.19,8.27,8.43,8
