t,USA ,CAN ,WEU ,JPK ,ANZ ,EEU ,FSU ,MDE ,CAM ,SAM ,SAS ,SEA ,CHI ,NAF ,SSA ,SIS 
1950,0.66,0.6,0.6,1.42,1.05,0.8,1.21,2.75,1.12,0.97,1.76,1.65,1.23,1.23,1.53,1.25
1960,0.74,0.7,0.59,1.16,1.06,0.7,1.03,1.91,1.08,0.98,1.51,1.33,0.46,1.32,1.36,1.02
1970,0.71,0.68,0.59,0.79,1.11,0.65,1,1.41,1.15,1.01,1.39,1.03,0.62,1.06,1.17,0.87
1980,0.79,0.73,0.65,0.86,1.11,0.66,0.99,1.34,1.04,1.09,1.14,1.08,0.6,0.99,1.1,0.85
1990,0.96,0.98,0.9,1.04,0.98,0.86,1.2,1.09,1.01,1.04,1.02,1.11,0.81,1.04,0.99,1.06
2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2020,1.18,1.17,1.17,1.14,1.17,1.23,1.16,1.1,1.21,1.2,1.2,1.17,1.32,1.2,1.22,1.16
2030,1.24,1.24,1.23,1.21,1.24,1.61,1.52,1.33,1.48,1.47,1.46,1.42,1.6,1.47,1.49,1.42
2040,1.32,1.31,1.31,1.28,1.31,2.12,2.01,1.58,1.85,1.83,1.74,1.69,1.91,1.83,1.86,1.76
2050,1.37,1.36,1.36,1.33,1.36,2.68,2.54,1.84,2.21,2.19,2.02,1.96,2.21,2.19,2.23,2.12
2060,1.43,1.42,1.41,1.39,1.42,3.16,2.99,2.04,2.52,2.49,2.25,2.18,2.46,2.49,2.54,2.41
2070,1.5,1.48,1.48,1.45,1.48,3.48,3.29,2.21,2.72,2.69,2.43,2.36,2.66,2.69,2.74,2.6
2080,1.56,1.54,1.54,1.51,1.54,3.77,3.57,2.32,2.8,2.77,2.55,2.47,2.79,2.77,2.82,2.68
2090,1.66,1.65,1.64,1.61,1.65,4.04,3.82,2.42,2.91,2.87,2.66,2.58,2.91,2.87,2.93,2.78
2100,1.77,1.76,1.76,1.72,1.76,4.24,4.01,2.54,3.06,3.03,2.79,2.71,3.05,3.03,3.09,2.93
2110,1.87,1.85,1.84,1.81,1.85,4.45,4.21,2.67,3.22,3.18,2.93,2.84,3.21,3.18,3.25,3.08
2120,1.96,1.95,1.94,1.9,1.95,4.68,4.43,2.8,3.39,3.35,3.08,2.99,3.37,3.35,3.41,3.24
2130,2.06,2.04,2.04,2,2.04,4.92,4.66,2.95,3.56,3.52,3.24,3.14,3.55,3.52,3.59,3.4
2140,2.17,2.15,2.14,2.1,2.15,5.17,4.9,3.1,3.74,3.7,3.41,3.3,3.73,3.7,3.77,3.58
2150,2.28,2.26,2.25,2.21,2.26,5.44,5.15,3.25,3.93,3.89,3.58,3.47,3.92,3.89,3.96,3.76
2160,2.39,2.38,2.37,2.32,2.37,5.71,5.41,3.42,4.13,4.09,3.76,3.65,4.12,4.09,4.17,3.95
2170,2.52,2.5,2.49,2.44,2.5,6.01,5.69,3.6,4.34,4.3,3.95,3.84,4.33,4.3,4.38,4.15
2180,2.64,2.62,2.62,2.57,2.62,6.31,5.98,3.78,4.57,4.52,4.16,4.03,4.55,4.52,4.6,4.37
2190,2.78,2.76,2.75,2.7,2.76,6.64,6.28,3.97,4.8,4.75,4.37,4.24,4.78,4.75,4.84,4.59
2200,2.92,2.9,2.89,2.84,2.9,6.98,6.6,4.18,5.04,4.99,4.59,4.46,5.03,4.99,5.09,4.82
2210,3.07,3.05,3.04,2.98,3.05,7.33,6.94,4.39,5.3,5.24,4.83,4.68,5.28,5.24,5.35,5.07
2220,3.23,3.2,3.19,3.13,3.2,7.71,7.3,4.61,5.57,5.51,5.07,4.92,5.56,5.51,5.62,5.33
2230,3.39,3.37,3.36,3.29,3.37,8.1,7.67,4.85,5.86,5.79,5.33,5.18,5.84,5.79,5.91,5.6
2240,3.57,3.54,3.53,3.46,3.54,8.52,8.06,5.1,6.16,6.09,5.61,5.44,6.14,6.09,6.21,5.89
2250,3.75,3.72,3.71,3.64,3.72,8.95,8.47,5.36,6.47,6.4,5.89,5.72,6.45,6.4,6.53,6.19
2260,3.94,3.91,3.9,3.83,3.91,9.41,8.91,5.63,6.8,6.73,6.2,6.01,6.78,6.73,6.86,6.51
2270,4.14,4.11,4.1,4.02,4.11,9.89,9.36,5.92,7.15,7.07,6.51,6.32,7.13,7.07,7.21,6.84
2280,4.35,4.32,4.31,4.23,4.32,10.4,9.84,6.22,7.52,7.43,6.85,6.64,7.49,7.44,7.58,7.19
2290,4.58,4.54,4.53,4.44,4.54,10.93,10.34,6.54,7.9,7.82,7.2,6.98,7.88,7.82,7.97,7.56
2300,4.81,4.77,4.76,4.67,4.77,11.49,10.87,6.88,8.31,8.21,7.56,7.34,8.28,8.22,8.37,7.94
