t,USA ,CAN ,WEU ,JPK ,ANZ ,EEU ,FSU ,MDE ,CAM ,SAM ,SAS ,SEA ,CHI ,NAF ,SSA ,SIS 
1950,0.66,0.6,0.6,1.42,1.05,0.8,1.21,2.75,1.12,0.97,1.76,1.65,1.23,1.23,1.53,1.25
1960,0.74,0.7,0.59,1.16,1.06,0.7,1.03,1.91,1.08,0.98,1.51,1.33,0.46,1.32,1.36,1.02
1970,0.71,0.68,0.59,0.79,1.11,0.65,1,1.41,1.15,1.01,1.39,1.03,0.62,1.06,1.17,0.87
1980,0.79,0.73,0.65,0.86,1.11,0.66,0.99,1.34,1.04,1.09,1.14,1.08,0.6,0.99,1.1,0.85
1990,0.96,0.98,0.9,1.04,0.98,0.86,1.2,1.09,1.01,1.04,1.02,1.11,0.81,1.04,0.99,1.06
2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2020,1.17,1.16,1.16,1.14,1.16,1.16,1.09,1.06,1.16,1.15,1.16,1.12,1.27,1.15,1.17,1.11
2030,1.23,1.22,1.21,1.19,1.22,1.25,1.18,1.14,1.26,1.25,1.26,1.22,1.39,1.25,1.27,1.21
2040,1.27,1.26,1.26,1.24,1.26,1.34,1.27,1.23,1.36,1.35,1.36,1.32,1.52,1.35,1.37,1.3
2050,1.31,1.3,1.3,1.28,1.3,1.42,1.34,1.32,1.46,1.45,1.46,1.41,1.65,1.45,1.47,1.4
2060,1.35,1.34,1.34,1.31,1.34,1.49,1.41,1.42,1.57,1.55,1.56,1.51,1.78,1.55,1.58,1.5
2070,1.39,1.38,1.37,1.35,1.38,1.55,1.47,1.51,1.67,1.65,1.66,1.61,1.92,1.65,1.68,1.6
2080,1.42,1.41,1.41,1.38,1.41,1.62,1.53,1.6,1.77,1.75,1.77,1.71,2.06,1.75,1.79,1.69
2090,1.46,1.45,1.44,1.42,1.45,1.68,1.59,1.7,1.87,1.85,1.87,1.81,2.2,1.85,1.89,1.79
2100,1.49,1.48,1.47,1.45,1.48,1.73,1.64,1.79,1.97,1.95,1.97,1.91,2.34,1.95,1.99,1.89
2110,1.52,1.51,1.5,1.48,1.51,1.78,1.69,1.88,2.07,2.05,2.06,2,2.48,2.05,2.09,1.98
2120,1.55,1.54,1.53,1.5,1.54,1.82,1.73,1.96,2.16,2.14,2.16,2.09,2.61,2.14,2.18,2.07
2130,1.58,1.57,1.56,1.54,1.57,1.86,1.76,2.04,2.25,2.23,2.25,2.18,2.75,2.23,2.27,2.15
2140,1.61,1.6,1.6,1.57,1.6,1.9,1.8,2.12,2.34,2.31,2.33,2.26,2.88,2.31,2.36,2.23
2150,1.65,1.63,1.63,1.6,1.63,1.94,1.83,2.19,2.41,2.39,2.4,2.33,3,2.39,2.43,2.31
2160,1.68,1.67,1.66,1.63,1.67,1.98,1.87,2.26,2.49,2.46,2.48,2.41,3.13,2.46,2.51,2.38
2170,1.71,1.7,1.69,1.66,1.7,2.02,1.91,2.34,2.58,2.55,2.57,2.5,3.27,2.55,2.6,2.47
2180,1.75,1.73,1.73,1.7,1.73,2.06,1.95,2.41,2.66,2.63,2.65,2.57,3.4,2.63,2.68,2.54
2190,1.78,1.77,1.76,1.73,1.77,2.1,1.99,2.46,2.71,2.68,2.7,2.62,3.49,2.68,2.73,2.59
2200,1.82,1.8,1.8,1.77,1.8,2.14,2.03,2.51,2.77,2.74,2.76,2.67,3.57,2.74,2.79,2.64
2210,1.86,1.84,1.84,1.8,1.84,2.18,2.07,2.56,2.82,2.79,2.81,2.73,3.64,2.79,2.84,2.7
2220,1.89,1.88,1.87,1.84,1.88,2.23,2.11,2.61,2.88,2.85,2.87,2.78,3.72,2.85,2.9,2.75
2230,1.93,1.92,1.91,1.87,1.92,2.27,2.15,2.66,2.94,2.9,2.93,2.84,3.79,2.9,2.96,2.81
2240,1.97,1.95,1.95,1.91,1.95,2.32,2.2,2.71,3,2.96,2.99,2.9,3.87,2.96,3.02,2.86
2250,2.01,1.99,1.99,1.95,1.99,2.37,2.24,2.77,3.06,3.02,3.05,2.96,3.95,3.02,3.08,2.92
2260,2.05,2.03,2.03,1.99,2.03,2.41,2.28,2.82,3.12,3.08,3.11,3.01,4.03,3.08,3.14,2.98
2270,2.09,2.08,2.07,2.03,2.08,2.46,2.33,2.88,3.18,3.15,3.17,3.08,4.11,3.15,3.21,3.04
2280,2.13,2.12,2.11,2.07,2.12,2.51,2.38,2.94,3.25,3.21,3.23,3.14,4.19,3.21,3.27,3.1
2290,2.18,2.16,2.15,2.11,2.16,2.56,2.43,3,3.31,3.27,3.3,3.2,4.28,3.27,3.34,3.17
2300,2.22,2.2,2.2,2.16,2.2,2.61,2.47,3.06,3.38,3.34,3.37,3.27,4.36,3.34,3.41,3.23
