t,MAT,MU,ML,TATM,TOCEAN
2010,8.30E+02,1.53E+03,1.00E+04,8.00E-01,6.80E-03
2015,8.29E+02,1.54E+03,1.00E+04,9.00E-01,2.66E-02
2020,8.31E+02,1.55E+03,1.00E+04,9.87E-01,4.85E-02
2025,8.34E+02,1.57E+03,1.00E+04,1.06E+00,7.19E-02
2030,8.39E+02,1.58E+03,1.00E+04,1.13E+00,9.67E-02
2035,8.46E+02,1.59E+03,1.00E+04,1.20E+00,1.23E-01
2040,8.54E+02,1.61E+03,1.00E+04,1.26E+00,1.50E-01
2045,8.64E+02,1.62E+03,1.00E+04,1.32E+00,1.77E-01
2050,8.77E+02,1.63E+03,1.00E+04,1.38E+00,2.06E-01
2055,8.90E+02,1.65E+03,1.00E+04,1.44E+00,2.35E-01
2060,9.06E+02,1.66E+03,1.00E+04,1.50E+00,2.66E-01
2065,9.22E+02,1.68E+03,1.00E+04,1.57E+00,2.96E-01
2070,9.40E+02,1.69E+03,1.00E+04,1.63E+00,3.28E-01
2075,9.58E+02,1.71E+03,1.00E+04,1.70E+00,3.61E-01
2080,9.76E+02,1.73E+03,1.00E+04,1.76E+00,3.94E-01
2085,9.94E+02,1.75E+03,1.00E+04,1.83E+00,4.28E-01
2090,1.01E+03,1.77E+03,1.00E+04,1.90E+00,4.63E-01
2095,1.03E+03,1.79E+03,1.00E+04,1.97E+00,4.99E-01
2100,1.05E+03,1.81E+03,1.00E+04,2.04E+00,5.36E-01
