r,forestry,SD,water,SD,heating,SD,cooling,sd
USA,0.000053,-0.000014,-0.00065,-0.00065,0.00429,-0.00429,-0.00212,-0.00212
CAN,0.000011,-0.000072,-0.00057,-0.00057,0.00378,-0.00378,-0.00186,-0.00186
WEU,0.000025,-0.000006,-0.00027,-0.00027,0.00241,-0.00241,-0.00372,-0.00372
JPK,0.000042,-0.000012,0.000003,-0.000003,0.00207,-0.00207,-0.00029,-0.00029
ANZ,-0.000121,-0.000033,0.000003,-0.000003,0.00151,-0.00151,-0.00021,-0.00021
EEU,0.000055,-0.000025,-0.00697,-0.00697,0.00456,-0.00456,-0.00185,-0.00185
FSU,-0.000023,-0.000053,-0.02754,-0.02754,0.01663,-0.01663,-0.00674,-0.00674
MDE,0,-0.000034,-0.00133,-0.00133,0.02074,-0.02074,-0.00233,-0.00233
CAM,0.000018,-0.000034,-0.0013,-0.0013,0.00366,-0.00366,-0.00239,-0.00239
SAM,0.000024,-0.000012,-0.0014,-0.0014,0.00395,-0.00395,-0.00259,-0.00259
SAS,0.000062,-0.000023,-0.00156,-0.00156,0.00361,-0.00361,-0.00384,-0.00384
SEA,0.000067,-0.000028,-0.00314,-0.00314,0.00695,-0.00695,-0.0074,-0.0074
CHI,0.000087,-0.000032,0.00569,-0.00569,0.03971,-0.03971,-0.02891,-0.02891
NAF,0,-0.000034,-0.00902,-0.00902,0.00015,-0.00015,-0.01892,-0.01892
SSA,0.000011,-0.000035,-0.0036,-0.0036,0.00006,-0.00006,-0.00797,-0.00797
SIS,0,-0.000034,-0.0013,-0.0013,0.00366,-0.00366,-0.00239,-0.00239
