      area_2000 coast_length dryland_loss max_dryland_loss DEM   land_value wetland_loss_SLR wetland_loss_coastalsqueeze exposed_wetland W_1990    coast_protection_cost
AUS   7633565   25760.0      3135         7633565          0.548 1514759    256              183                         2511            55385.64  36.6
NZL   262443    15134        3135         262443           0.548 1514759    256              183                         2511            55385.64  36.6
BLZ   22806     386          12004        22806            0.678 509083     14775            238                         54279           76001.27  42.3
CRI   51060.0   1290.0       12004        51060.0          0.678 509083     14775            238                         54279           76001.27  42.3
SLV   20721     307          12004        20721            0.678 509083     14775            238                         54279           76001.27  42.3
GTM   107159    400.0        12004        107159           0.678 509083     14775            238                         54279           76001.27  42.3
HND   111890.0  832          12004        111890.0         0.678 509083     14775            238                         54279           76001.27  42.3
MEX   1943945   9330.0       12004        1943945          0.678 509083     14775            238                         54279           76001.27  42.3
PAN   74340.0   2490.0       12004        74340.0          0.678 509083     14775            238                         54279           76001.27  42.3
CAN   9093507   202080.0     970.0        9093507          0.261 1170585    0.0              0.0                         0.0             130509.75 13
BIH   51187     20.0         1889         51187            0.193 220274     38               0.0                         5               11297.61  3.1
BGR   108489    354          1889         108489           0.193 220274     38               0.0                         5               11297.61  3.1
HRV   55974     6268         1889         55974            0.193 220274     38               0.0                         5               11297.61  3.1
CZE   77247     0.0          1889         0.0              0.193 220274     0.0              0.0                         0.0             11297.61  3.1
HUN   89608     0.0          1889         0.0              0.193 220274     0.0              0.0                         0.0             11297.61  3.1
MKD   25433     0.0          1889         0.0              0.193 220274     0.0              0.0                         0.0             11297.61  3.1
MNE   13452     293.5        1889         13452            0.193 220274     38               0.0                         5               11297.61  3.1
POL   311888    440.0        1889         311888           0.193 220274     38               0.0                         5               11297.61  3.1
ROU   229891    225          1889         229891           0.193 220274     38               0.0                         5               11297.61  3.1
SRB   88246     0.0          1889         0.0              0.193 220274     0.0              0.0                         0.0             11297.61  3.1
SVK   48105     0.0          1889         0.0              0.193 220274     0.0              0.0                         0.0             11297.61  3.1
SVN   20152     46.6         1889         20152            0.193 220274     38               0.0                         5               11297.61  3.1
CHN   9326410.0 14500.0      35000.0      9326410.0        0.708 973897     5879             1779                        19132           31321.6   118.4
MNG   1553556   0.0          35000.0      0.0              0.708 973897     0.0              1779                        0.0             31321.6   118.4
ARM   29843     0.0          15138        0.0              0.555 5527204    0.0              0.0                         0.0             118955.64 54
AZE   86100.0   0.0          15138        0.0              0.555 5527204    0.0              0.0                         0.0             118955.64 54
BLR   202900.0  0.0          15138        0.0              0.555 5527204    0.0              0.0                         0.0             118955.64 54
EST   42388     3794         15138        42388            0.555 5527204    0.0              0.0                         0.0             118955.64 54
GEO   69700.0   310.0        15138        69700.0          0.555 5527204    0.0              0.0                         0.0             118955.64 54
KAZ   2699700.0 0.0          15138        0.0              0.555 5527204    0.0              0.0                         0.0             118955.64 54
KGZ   191801    0.0          15138        0.0              0.555 5527204    0.0              0.0                         0.0             118955.64 54
LVA   62249     498          15138        62249            0.555 5527204    0.0              0.0                         0.0             118955.64 54
LTU   62680.0   90.0         15138        62680.0          0.555 5527204    0.0              0.0                         0.0             118955.64 54
MDA   32891     0.0          15138        0.0              0.555 5527204    0.0              0.0                         0.0             118955.64 54
RUS   16377742  37653        15138        16377742         0.555 5527204    0.0              0.0                         0.0             118955.64 54
TJK   131510.0  0.0          15138        0.0              0.555 5527204    0.0              0.0                         0.0             118955.64 54
TKM   469930.0  0.0          15138        0.0              0.555 5527204    0.0              0.0                         0.0             118955.64 54
UKR   553544    2782         15138        553544           0.555 5527204    0.0              0.0                         0.0             118955.64 54
UZB   425400.0  0.0          15138        0.0              0.555 5527204    0.0              0.0                         0.0             118955.64 54
JPN   364485    29751        2687         364485           0.412 171553     573              7                           3763            4609.85   75.5
KOR   99909     2413         2687         99909            0.412 171553     573              7                           3763            4609.85   75.5
BHR   765       161          1621         765              0.628 601498     0.0              0.0                         140.0           16247.05  18.9
IRN   1531595   2440.0       1621         1531595          0.628 601498     0.0              0.0                         140.0           16247.05  18.9
IRQ   437367    58           1621         437367           0.628 601498     0.0              0.0                         140.0           16247.05  18.9
ISR   20330.0   273          1621         20330.0          0.628 601498     0.0              0.0                         140.0           16247.05  18.9
JOR   88802     26           1621         88802            0.628 601498     0.0              0.0                         140.0           16247.05  18.9
KWT   17818     499          1621         17818            0.628 601498     0.0              0.0                         140.0           16247.05  18.9
LBN   10230.0   225          1621         10230.0          0.628 601498     0.0              0.0                         140.0           16247.05  18.9
OMN   309500.0  2092         1621         309500.0         0.628 601498     0.0              0.0                         140.0           16247.05  18.9
QAT   11586     563          1621         11586            0.628 601498     0.0              0.0                         140.0           16247.05  18.9
SAU   2149690.0 2640.0       1621         2149690.0        0.628 601498     0.0              0.0                         140.0           16247.05  18.9
SYR   183630.0  193          1621         183630.0         0.628 601498     0.0              0.0                         140.0           16247.05  18.9
TUR   769632    7200.0       1621         769632           0.628 601498     0.0              0.0                         140.0           16247.05  18.9
YEM   527968    1906         1621         527968           0.628 601498     0.0              0.0                         140.0           16247.05  18.9
EGY   995450.0  2450.0       8354         995450.0         0.337 445413     2649             0.0                         7928            9304.2    19
MAR   446300.0  1835         8354         446300.0         0.337 445413     2649             0.0                         7928            9304.2    19
TUN   155360.0  1148         8354         155360.0         0.337 445413     2649             0.0                         7928            9304.2    19
ARG   2736690.0 4989         29407        2736690.0        0.756 3131627    27234            4748                        278791          394296.21 117.6
