"t","USA","CAN","WEU","JPK","ANZ","EEU","FSU","MDE","CAM","SAM","SAS","SEA","CHI","NAF","SSA","SIS"
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2015,1.145,1.135,1.145,1.11,1.135,1.175,1.09,1.07,1.14,1.125,1.155,1.115,1.265,1.125,1.15,1.1
2020,1.21,1.2,1.2,1.17,1.2,1.26,1.19,1.14,1.22,1.2,1.25,1.21,1.37,1.2,1.23,1.17
2025,1.29,1.28,1.275,1.25,1.28,1.48,1.4,1.325,1.365,1.345,1.455,1.41,1.595,1.345,1.375,1.305
2030,1.37,1.36,1.35,1.33,1.36,1.7,1.61,1.51,1.51,1.49,1.66,1.61,1.82,1.49,1.52,1.44
2035,1.455,1.445,1.44,1.415,1.445,1.93,1.83,1.695,1.665,1.645,1.86,1.805,2.04,1.645,1.68,1.59
2040,1.54,1.53,1.53,1.5,1.53,2.16,2.05,1.88,1.82,1.8,2.06,2,2.26,1.8,1.84,1.74
2045,1.625,1.61,1.61,1.58,1.61,2.395,2.27,2.055,1.98,1.96,2.255,2.185,2.47,1.96,2,1.895
2050,1.71,1.69,1.69,1.66,1.69,2.63,2.49,2.23,2.14,2.12,2.45,2.37,2.68,2.12,2.16,2.05
2055,1.775,1.76,1.755,1.725,1.76,2.835,2.685,2.365,2.275,2.255,2.6,2.515,2.845,2.255,2.295,2.18
2060,1.84,1.83,1.82,1.79,1.83,3.04,2.88,2.5,2.41,2.39,2.75,2.66,3.01,2.39,2.43,2.31
2065,1.915,1.905,1.895,1.86,1.905,3.27,3.1,2.645,2.575,2.55,2.91,2.82,3.185,2.55,2.6,2.465
2070,1.99,1.98,1.97,1.93,1.98,3.5,3.32,2.79,2.74,2.71,3.07,2.98,3.36,2.71,2.77,2.62
2075,2.075,2.065,2.055,2.015,2.065,3.765,3.57,2.95,2.96,2.925,3.24,3.145,3.55,2.925,2.985,2.83
2080,2.16,2.15,2.14,2.1,2.15,4.03,3.82,3.11,3.18,3.14,3.41,3.31,3.74,3.14,3.2,3.04
2085,2.26,2.245,2.235,2.195,2.245,4.335,4.105,3.275,3.445,3.405,3.595,3.49,3.94,3.405,3.47,3.295
2090,2.36,2.34,2.33,2.29,2.34,4.64,4.39,3.44,3.71,3.67,3.78,3.67,4.14,3.67,3.74,3.55
2095,2.46,2.44,2.43,2.39,2.44,4.94,4.675,3.6,3.97,3.925,3.96,3.845,4.335,3.925,4,3.795
2100,2.56,2.54,2.53,2.49,2.54,5.24,4.96,3.76,4.23,4.18,4.14,4.02,4.53,4.18,4.26,4.04
