"t","USA","CAN","WEU","JPK","ANZ","EEU","FSU","MDE","CAM","SAM","SAS","SEA","CHI","NAF","SSA","SIS"
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2015,1.13,1.12,1.13,1.095,1.12,1.16,1.075,1.05,1.135,1.125,1.13,1.095,1.24,1.125,1.145,1.095
2020,1.18,1.17,1.17,1.14,1.17,1.23,1.16,1.1,1.21,1.2,1.2,1.17,1.32,1.2,1.22,1.16
2025,1.21,1.205,1.2,1.175,1.205,1.42,1.34,1.215,1.345,1.335,1.33,1.295,1.46,1.335,1.355,1.29
2030,1.24,1.24,1.23,1.21,1.24,1.61,1.52,1.33,1.48,1.47,1.46,1.42,1.6,1.47,1.49,1.42
2035,1.28,1.275,1.27,1.245,1.275,1.865,1.765,1.455,1.665,1.65,1.6,1.555,1.755,1.65,1.675,1.59
2040,1.32,1.31,1.31,1.28,1.31,2.12,2.01,1.58,1.85,1.83,1.74,1.69,1.91,1.83,1.86,1.76
2045,1.345,1.335,1.335,1.305,1.335,2.4,2.275,1.71,2.03,2.01,1.88,1.825,2.06,2.01,2.045,1.94
2050,1.37,1.36,1.36,1.33,1.36,2.68,2.54,1.84,2.21,2.19,2.02,1.96,2.21,2.19,2.23,2.12
2055,1.4,1.39,1.385,1.36,1.39,2.92,2.765,1.94,2.365,2.34,2.135,2.07,2.335,2.34,2.385,2.265
2060,1.43,1.42,1.41,1.39,1.42,3.16,2.99,2.04,2.52,2.49,2.25,2.18,2.46,2.49,2.54,2.41
2065,1.465,1.45,1.445,1.42,1.45,3.32,3.14,2.125,2.62,2.59,2.34,2.27,2.56,2.59,2.64,2.505
2070,1.5,1.48,1.48,1.45,1.48,3.48,3.29,2.21,2.72,2.69,2.43,2.36,2.66,2.69,2.74,2.6
2075,1.53,1.51,1.51,1.48,1.51,3.625,3.43,2.265,2.76,2.73,2.49,2.415,2.725,2.73,2.78,2.64
2080,1.56,1.54,1.54,1.51,1.54,3.77,3.57,2.32,2.8,2.77,2.55,2.47,2.79,2.77,2.82,2.68
2085,1.61,1.595,1.59,1.56,1.595,3.905,3.695,2.37,2.855,2.82,2.605,2.525,2.85,2.82,2.875,2.73
2090,1.66,1.65,1.64,1.61,1.65,4.04,3.82,2.42,2.91,2.87,2.66,2.58,2.91,2.87,2.93,2.78
2095,1.715,1.705,1.7,1.665,1.705,4.14,3.915,2.48,2.985,2.95,2.725,2.645,2.98,2.95,3.01,2.855
2100,1.77,1.76,1.76,1.72,1.76,4.24,4.01,2.54,3.06,3.03,2.79,2.71,3.05,3.03,3.09,2.93
