"t","USA","CAN","WEU","JPK","ANZ","EEU","FSU","MDE","CAM","SAM","SAS","SEA","CHI","NAF","SSA","SIS"
2010,1.08,1.07,1.09,1.05,1.07,1.09,0.99,1,1.06,1.05,1.06,1.02,1.16,1.05,1.07,1.03
2015,1.125,1.115,1.125,1.095,1.115,1.125,1.04,1.03,1.11,1.1,1.11,1.07,1.215,1.1,1.12,1.07
2020,1.17,1.16,1.16,1.14,1.16,1.16,1.09,1.06,1.16,1.15,1.16,1.12,1.27,1.15,1.17,1.11
2025,1.2,1.19,1.185,1.165,1.19,1.205,1.135,1.1,1.21,1.2,1.21,1.17,1.33,1.2,1.22,1.16
2030,1.23,1.22,1.21,1.19,1.22,1.25,1.18,1.14,1.26,1.25,1.26,1.22,1.39,1.25,1.27,1.21
2035,1.25,1.24,1.235,1.215,1.24,1.295,1.225,1.185,1.31,1.3,1.31,1.27,1.455,1.3,1.32,1.255
2040,1.27,1.26,1.26,1.24,1.26,1.34,1.27,1.23,1.36,1.35,1.36,1.32,1.52,1.35,1.37,1.3
2045,1.29,1.28,1.28,1.26,1.28,1.38,1.305,1.275,1.41,1.4,1.41,1.365,1.585,1.4,1.42,1.35
2050,1.31,1.3,1.3,1.28,1.3,1.42,1.34,1.32,1.46,1.45,1.46,1.41,1.65,1.45,1.47,1.4
2055,1.33,1.32,1.32,1.295,1.32,1.455,1.375,1.37,1.515,1.5,1.51,1.46,1.715,1.5,1.525,1.45
2060,1.35,1.34,1.34,1.31,1.34,1.49,1.41,1.42,1.57,1.55,1.56,1.51,1.78,1.55,1.58,1.5
2065,1.37,1.36,1.355,1.33,1.36,1.52,1.44,1.465,1.62,1.6,1.61,1.56,1.85,1.6,1.63,1.55
2070,1.39,1.38,1.37,1.35,1.38,1.55,1.47,1.51,1.67,1.65,1.66,1.61,1.92,1.65,1.68,1.6
2075,1.405,1.395,1.39,1.365,1.395,1.585,1.5,1.555,1.72,1.7,1.715,1.66,1.99,1.7,1.735,1.645
2080,1.42,1.41,1.41,1.38,1.41,1.62,1.53,1.6,1.77,1.75,1.77,1.71,2.06,1.75,1.79,1.69
2085,1.44,1.43,1.425,1.4,1.43,1.65,1.56,1.65,1.82,1.8,1.82,1.76,2.13,1.8,1.84,1.74
2090,1.46,1.45,1.44,1.42,1.45,1.68,1.59,1.7,1.87,1.85,1.87,1.81,2.2,1.85,1.89,1.79
2095,1.475,1.465,1.455,1.435,1.465,1.705,1.615,1.745,1.92,1.9,1.92,1.86,2.27,1.9,1.94,1.84
2100,1.49,1.48,1.47,1.45,1.48,1.73,1.64,1.79,1.97,1.95,1.97,1.91,2.34,1.95,1.99,1.89
