DeathPer100k,area,diarrhea,malaria,schistosomiasis,dengue
ARG,2736690,1.77029,0.00257501,0.0903076,0.0558738
ARM,29843,3.07823,16.9739,0.169088,0.0930806
AUS,7633565,0.653995,0.000073763,0.169088,0.13099
AUT,82445,0.807327,0.000073763,0.169088,0.129514
AZE,86100,3.01842,0.00255191,0.169088,0.178869
BDI,25680,84.7528,178.665,0.0113397,0.206817
BEL,30278,3.14005,0.000073763,0.169088,0.376384
BEN,110622,31.3081,157.832,0.00511829,0.29347
BFA,273800,143.928,275.28,0.00444895,0.181473
BGD,130168,12.0787,2.30731,0.460899,0.2771
BGR,108489,0.322227,16.9739,0.169088,0.150515
BHR,765,0.954955,0.991603,0.406586,0.423142
BHS,10010,0.95972,2.19368,0.0903076,0.715767
BIH,51187,0.215662,16.9739,0.169088,0.106351
BLR,202900,2.72933,16.9739,0.169088,0.0765511
BLZ,22806,4.37103,0.784052,0.0903076,2.95225
BOL,1083301,24.1738,0.288365,0.0903076,0.0840589
BRA,8460415,3.94554,0.0595248,0.212791,0.119524
BRB,431,2.43988,2.19368,0.0903076,3.675
BRN,5265,1.26175,0.00414774,0.609882,0.0944401
BTN,38394,12.6834,1.66981,0.460899,0.0628862
BWA,566730,16.1081,9.96642,0.0043691,0.0284461
CAN,9093507,1.644,0.000073763,0.169088,0.0137582
CHE,39997,5.02596,0.000073763,0.169088,0.164193
CHL,743812,1.44709,0.00172941,0.0903076,0.0755714
CHN,9326410,0.325212,0.00423686,0.631641,0.0756785
CIV,318003,101.873,168.752,0.00711481,0.210787
CMR,472710,54.7278,126.902,0.00574712,0.144928
COL,1038700,3.75308,0.114575,0.0903076,0.202041
COM,1862,35.7528,72.6992,0.00711921,0.497254
CRI,51060,2.03924,0.00147402,0.0903076,0.0686929
CYP,9241,1.4664,0.000073763,0.169088,0.60546
CZE,77247,0.464698,16.9739,0.169088,0.136349
DEU,348672,3.9528,0.000073763,0.169088,0.220607
DJI,23180,32.9253,26.4282,0.00654259,0.260659
DNK,42434,3.75089,0.000073763,0.169088,0.827939
DOM,48320,5.32745,0.083355,0.213912,1.07302
ECU,256369,4.25776,0.107781,0.0903076,0.148064
EGY,995450,7.42661,0.991603,1.29905,0.0979749
ESP,498980,1.45667,0.000073763,0.169088,0.241899
EST,42388,0.180065,16.9739,0.169088,0.461294
ETH,1000000,50.1913,48.451,0.00714133,0.124648
FIN,303815,1.48466,0.000073763,0.169088,0.603336
FJI,18274,8.66175,24.2479,0.127322,0.0937702
FRA,640427,4.15576,0.000073763,0.169088,0.264888
GAB,257667,50.0843,101.566,0.00719136,0.334249
GBR,241930,4.30901,0.000073763,0.169088,0.41745
GEO,69700,0.61467,0.00389857,0.169088,0.122174
GHA,227533,17.6515,96.1956,0.00555978,0.173325
GIN,245717,46.4711,190.923,0.00576773,0.173601
GMB,10000,30.4147,134.717,0.00407542,0.77347
GNB,28120,84.3168,231.961,0.00675613,1.23188
GNQ,28051,63.8051,120.534,0.00354568,0.337449
GRC,130647,0.269015,0.000073763,0.169088,0.255234
GTM,107159,29.4351,0.306374,0.0903076,0.169795
HND,111890,24.9975,0.158345,0.0903076,0.1123
HRV,55974,0.338696,16.9739,0.169088,0.17547
HUN,89608,0.439559,16.9739,0.169088,0.149999
IDN,1811569,18.3399,5.61828,0.127322,0.915731
IND,2864021,48.4998,3.95093,0.460899,0.0919879
IRL,68883,0.780915,0.000073763,0.169088,0.40218
IRN,1531595,1.43222,0.00669103,0.406586,0.141561
IRQ,437367,9.37919,0.00201321,0.462021,0.196685
ISL,100250,0.635026,0.000073763,0.169088,0.184428
ISR,20330,1.99924,0.000073763,0.169088,0.212655
ITA,294140,0.635797,0.000073763,0.169088,0.295697
JAM,10831,5.92384,2.19368,0.0903076,0.671082
JOR,88802,1.10681,0.991603,0.406586,0.106913
JPN,364485,2.62771,0.00414774,0.609882,0.118393
KAZ,2699700,3.48129,16.9739,0.169088,0.134818
KEN,569140,39.284,58.5298,0.00423218,0.104337
KGZ,191801,7.63627,0.00324435,0.169088,0.12884
KHM,176515,11.3423,12.9204,0.800127,2.46276
KOR,99909,0.760135,0.00196993,0.609882,0.0714647
KWT,17818,0.257391,0.991603,0.406586,0.693768
LAO,230800,27.3352,10.18,0.735703,21.06
LBN,10230,1.14208,0.991603,0.406586,0.162316
LBR,96320,115.213,182.897,0.00500069,0.243914
LKA,62732,8.08027,0.125806,0.127322,0.555687
LSO,30355,98.6153,123.144,0.00711921,0.0504337
LTU,62680,0.159428,16.9739,0.169088,0.145728
LUX,2586,3.26348,0.000073763,0.169088,0.182009
LVA,62249,0.134814,16.9739,0.169088,0.250166
MAR,446300,4.47016,0.991603,0.406586,0.215878
MDA,32891,0.414794,16.9739,0.169088,0.0970342
MDG,581540,52.14,72.089,0.00533666,0.0933612
MDV,298,1.36121,24.2479,0.127322,0.959328
MEX,1943945,4.08038,0.0020652,0.0903076,0.0436806
MKD,25433,0.930923,16.9739,0.169088,0.102439
MLI,1220190,62.041,268.005,0.00544007,0.185097
MLT,316,0.398135,0.000073763,0.169088,0.647803
MNE,13452,0.217439,16.9739,0.169088,0.110437
MNG,1553556,3.01756,16.9739,0.169088,0.133075
MOZ,786380,54.6046,211.689,0.00788984,0.223764
MRT,1025520,48.0984,43.2247,0.00511698,0.135997
MUS,2030,1.81468,123.144,0.984416,0.337635
MWI,94080,76.5828,101.233,0.00711546,0.166588
MYS,329613,1.04162,0.0742661,0.127322,0.77068
NAM,823290,43.9823,21.5738,0.00453538,0.0360007
NER,1266700,176.061,169.107,0.00444621,0.175713
NGA,910768,52.3471,206.987,0.00441585,0.164068
NLD,33893,2.16046,0.000073763,0.169088,0.726936
NOR,304282,6.19543,0.000073763,0.169088,0.338146
NPL,143351,33.3394,2.18191,0.460899,0.0530723
NZL,262443,0.568597,0.000073763,0.169088,0.169556
OMN,309500,2.11385,0.991603,0.406586,0.367299
PAK,881912,41.688,2.28202,0.460899,0.084816
PAN,74340,4.12955,0.0596069,0.0903076,0.267854
PER,1279996,3.64844,0.0314003,0.0903076,0.0667213
PHL,298170,7.31997,0.28112,0.660594,1.2786
POL,311888,0.223528,16.9739,0.169088,0.180404
PRT,91470,0.869032,0.000073763,0.169088,0.299378
PRY,397302,5.88178,0.00202315,0.0903076,0.0341792
QAT,11586,0.218386,0.991603,0.406586,0.614605
ROU,229891,0.287978,16.9739,0.169088,0.204895
RUS,16377742,3.67793,16.9739,0.169088,0.102857
RWA,24668,31.9285,89.4525,0.00636918,0.12163
SAU,2149690,1.7577,0.0136772,0.328525,0.382347
SDN,2505813,42.8076,38.6634,0.00347237,0.0853715
SEN,192530,63.0057,82.3693,0.00458892,0.60497
SGP,687,0.662006,0.00414774,0.609882,0.625711
SLE,71620,43.0229,154.013,0.00566441,0.270529
SLV,20721,5.43486,0.00231685,0.0903076,0.0812678
SRB,88246,0.157816,16.9739,0.169088,0.113054
STP,964,19.6154,76.3801,0.00241192,0.154269
SUR,156000,4.08863,0.535614,0.194601,1.10323
SVK,48105,0.320867,16.9739,0.169088,0.127601
SVN,20152,0.26696,16.9739,0.169088,0.154733
SWE,410335,4.82337,0.000073763,0.169088,0.506145
SWZ,17204,77.7954,26.9621,0.00999366,0.0449259
SYR,183630,0.752801,0.991603,0.406586,0.115249
TGO,54385,61.287,138.136,0.00582477,0.245959
THA,510890,4.64978,0.506766,0.127322,0.345589
TJK,131510,19.9267,0.194891,0.169088,0.138236
TKM,469930,9.09101,16.9739,0.169088,0.127762
TTO,5128,2.26892,2.19368,0.0903076,0.604198
TUN,155360,2.22784,0.991603,0.406586,0.235011
TUR,769632,1.9051,0.0019071,0.406586,0.143726
TZA,885800,34.3312,98.4419,0.00521784,0.148017
UGA,197100,26.8108,102.279,0.00493549,0.11444
UKR,553544,2.29004,16.9739,0.169088,0.0914288
URY,175015,3.22268,0.00172941,0.0903076,0.0671722
USA,9161966,3.14965,0.000073763,0.169088,0.00434313
UZB,425400,2.12775,0.00279783,0.169088,0.123016
VEN,882050,5.50703,0.0638112,0.129951,0.148307
VNM,310070,4.04189,1.05324,0.127322,0.830481
YEM,527968,55.7459,18.2951,0.813905,0.130658
ZAF,1214470,35.0638,1.04785,0.00735656,0.0577656
ZMB,743398,47.9784,132.732,0.0079865,0.149404
ZWE,386847,60.0109,45.9339,0.00732898,0.0516554
