dummy,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CHL,CHN,COL,COM,CRI,CIV,HRV,CYP,CZE,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GTM,GIN,GNB,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LTU,LUX,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,NAM,NPL,NLD,NZL,NER,NGA,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,STP,SAU,SEN,SRB,SLE,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UGA,UKR,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE
2010,0.281,0.492,0.134,0.037,0.492,0.281,0.223,0.312,0.281,0.141,0.037,0.171,0.340,0.249,0.281,0.119,0.461,0.243,0.249,0.123,0.340,0.340,0.403,0.340,0.062,0.281,0.680,0.281,0.340,0.281,0.340,0.119,0.177,0.177,0.037,0.340,0.281,0.281,0.259,0.281,0.461,0.177,0.340,0.312,0.037,0.037,0.461,0.340,0.492,0.037,0.340,0.037,0.171,0.249,0.340,0.171,0.177,0.076,0.502,0.320,0.264,0.264,0.037,0.223,0.037,0.281,0.007,0.264,0.492,0.340,0.204,0.223,0.492,0.403,0.123,0.264,0.340,0.340,0.123,0.037,0.119,0.340,0.340,0.249,0.249,0.340,0.177,0.340,0.461,0.087,0.141,0.403,0.119,0.259,0.340,0.461,0.312,0.037,0.134,0.340,0.340,0.076,0.123,0.257,0.281,0.281,0.281,0.312,0.177,0.037,0.223,0.123,0.188,0.340,0.340,0.223,0.340,0.119,0.340,0.249,0.177,0.177,0.170,0.037,0.249,0.249,0.281,0.249,0.037,0.076,0.264,0.492,0.249,0.249,0.249,0.281,0.259,0.168,0.492,0.249,0.141,0.037,0.036,0.281,0.492,0.281,0.403,0.264,0.249,0.249
2015,0.240,0.314,0.177,0.072,0.314,0.240,0.335,0.294,0.240,0.207,0.072,0.165,0.316,0.245,0.240,0.076,0.244,0.171,0.245,0.118,0.316,0.316,0.357,0.316,0.128,0.240,0.507,0.240,0.316,0.240,0.316,0.076,0.142,0.142,0.072,0.316,0.240,0.240,0.187,0.240,0.244,0.142,0.316,0.294,0.072,0.072,0.244,0.316,0.314,0.072,0.316,0.072,0.165,0.245,0.316,0.165,0.142,0.112,0.363,0.358,0.120,0.120,0.072,0.335,0.072,0.240,0.059,0.120,0.314,0.316,0.210,0.335,0.314,0.357,0.118,0.120,0.316,0.316,0.118,0.072,0.076,0.316,0.316,0.245,0.245,0.316,0.142,0.316,0.244,0.181,0.207,0.357,0.076,0.187,0.316,0.244,0.294,0.072,0.177,0.316,0.316,0.112,0.118,0.174,0.240,0.240,0.240,0.294,0.142,0.072,0.335,0.118,0.213,0.316,0.316,0.335,0.316,0.076,0.316,0.245,0.142,0.142,0.201,0.072,0.245,0.245,0.240,0.245,0.072,0.112,0.120,0.314,0.245,0.245,0.245,0.240,0.187,0.249,0.314,0.245,0.207,0.072,0.129,0.240,0.314,0.240,0.357,0.120,0.245,0.245
2020,0.215,0.312,0.176,0.091,0.312,0.215,0.226,0.321,0.215,0.206,0.091,0.209,0.378,0.264,0.215,0.145,0.279,0.214,0.264,0.190,0.378,0.378,0.422,0.378,0.135,0.215,0.475,0.215,0.378,0.215,0.378,0.145,0.164,0.164,0.091,0.378,0.215,0.215,0.293,0.215,0.279,0.164,0.378,0.321,0.091,0.091,0.279,0.378,0.312,0.091,0.378,0.091,0.209,0.264,0.378,0.209,0.164,0.119,0.389,0.388,0.233,0.233,0.091,0.226,0.091,0.215,0.054,0.233,0.312,0.378,0.209,0.226,0.312,0.422,0.190,0.233,0.378,0.378,0.190,0.091,0.145,0.378,0.378,0.264,0.264,0.378,0.164,0.378,0.279,0.169,0.206,0.422,0.145,0.293,0.378,0.279,0.321,0.091,0.176,0.378,0.378,0.119,0.190,0.220,0.215,0.215,0.215,0.321,0.164,0.091,0.226,0.190,0.204,0.378,0.378,0.226,0.378,0.145,0.378,0.264,0.164,0.164,0.246,0.091,0.264,0.264,0.215,0.264,0.091,0.119,0.233,0.312,0.264,0.264,0.264,0.215,0.293,0.229,0.312,0.264,0.206,0.091,0.161,0.215,0.312,0.215,0.422,0.233,0.264,0.264
2025,0.212,0.313,0.157,0.089,0.313,0.212,0.212,0.339,0.212,0.230,0.089,0.303,0.429,0.259,0.212,0.160,0.203,0.199,0.259,0.186,0.429,0.429,0.375,0.429,0.099,0.212,0.399,0.212,0.429,0.212,0.429,0.160,0.152,0.152,0.089,0.429,0.212,0.212,0.301,0.212,0.203,0.152,0.429,0.339,0.089,0.089,0.203,0.429,0.313,0.089,0.429,0.089,0.303,0.259,0.429,0.303,0.152,0.102,0.392,0.407,0.217,0.217,0.089,0.212,0.089,0.212,0.070,0.217,0.313,0.429,0.185,0.212,0.313,0.375,0.186,0.217,0.429,0.429,0.186,0.089,0.160,0.429,0.429,0.259,0.259,0.429,0.152,0.429,0.203,0.177,0.230,0.375,0.160,0.301,0.429,0.203,0.339,0.089,0.157,0.429,0.429,0.102,0.186,0.291,0.212,0.212,0.212,0.339,0.152,0.089,0.212,0.186,0.202,0.429,0.429,0.212,0.429,0.160,0.429,0.259,0.152,0.152,0.243,0.089,0.259,0.259,0.212,0.259,0.089,0.102,0.217,0.313,0.259,0.259,0.259,0.212,0.301,0.212,0.313,0.259,0.230,0.089,0.139,0.212,0.313,0.212,0.375,0.217,0.259,0.259
2030,0.213,0.271,0.149,0.095,0.271,0.213,0.205,0.352,0.213,0.240,0.095,0.347,0.467,0.248,0.213,0.165,0.179,0.192,0.248,0.184,0.467,0.467,0.351,0.467,0.092,0.213,0.323,0.213,0.467,0.213,0.467,0.165,0.145,0.145,0.095,0.467,0.213,0.213,0.299,0.213,0.179,0.145,0.467,0.352,0.095,0.095,0.179,0.467,0.271,0.095,0.467,0.095,0.347,0.248,0.467,0.347,0.145,0.105,0.381,0.386,0.240,0.240,0.095,0.205,0.095,0.213,0.079,0.240,0.271,0.467,0.153,0.205,0.271,0.351,0.184,0.240,0.467,0.467,0.184,0.095,0.165,0.467,0.467,0.248,0.248,0.467,0.145,0.467,0.179,0.188,0.240,0.351,0.165,0.299,0.467,0.179,0.352,0.095,0.149,0.467,0.467,0.105,0.184,0.338,0.213,0.213,0.213,0.352,0.145,0.095,0.205,0.184,0.206,0.467,0.467,0.205,0.467,0.165,0.467,0.248,0.145,0.145,0.230,0.095,0.248,0.248,0.213,0.248,0.095,0.105,0.240,0.271,0.248,0.248,0.248,0.213,0.299,0.200,0.271,0.248,0.240,0.095,0.125,0.213,0.271,0.213,0.351,0.240,0.248,0.248
2035,0.204,0.232,0.146,0.101,0.232,0.204,0.178,0.349,0.204,0.228,0.101,0.358,0.473,0.226,0.204,0.159,0.165,0.188,0.226,0.166,0.473,0.473,0.319,0.473,0.101,0.204,0.246,0.204,0.473,0.204,0.473,0.159,0.132,0.132,0.101,0.473,0.204,0.204,0.282,0.204,0.165,0.132,0.473,0.349,0.101,0.101,0.165,0.473,0.232,0.101,0.473,0.101,0.358,0.226,0.473,0.358,0.132,0.105,0.358,0.357,0.241,0.241,0.101,0.178,0.101,0.204,0.076,0.241,0.232,0.473,0.124,0.178,0.232,0.319,0.166,0.241,0.473,0.473,0.166,0.101,0.159,0.473,0.473,0.226,0.226,0.473,0.132,0.473,0.165,0.189,0.228,0.319,0.159,0.282,0.473,0.165,0.349,0.101,0.146,0.473,0.473,0.105,0.166,0.362,0.204,0.204,0.204,0.349,0.132,0.101,0.178,0.166,0.182,0.473,0.473,0.178,0.473,0.159,0.473,0.226,0.132,0.132,0.215,0.101,0.226,0.226,0.204,0.226,0.101,0.105,0.241,0.232,0.226,0.226,0.226,0.204,0.282,0.184,0.232,0.226,0.228,0.101,0.111,0.204,0.232,0.204,0.319,0.241,0.226,0.226
2040,0.184,0.190,0.138,0.100,0.190,0.184,0.150,0.326,0.184,0.190,0.100,0.339,0.453,0.194,0.184,0.139,0.176,0.172,0.194,0.136,0.453,0.453,0.278,0.453,0.102,0.184,0.176,0.184,0.453,0.184,0.453,0.139,0.108,0.108,0.100,0.453,0.184,0.184,0.249,0.184,0.176,0.108,0.453,0.326,0.100,0.100,0.176,0.453,0.190,0.100,0.453,0.100,0.339,0.194,0.453,0.339,0.108,0.098,0.316,0.305,0.214,0.214,0.100,0.150,0.100,0.184,0.065,0.214,0.190,0.453,0.096,0.150,0.190,0.278,0.136,0.214,0.453,0.453,0.136,0.100,0.139,0.453,0.453,0.194,0.194,0.453,0.108,0.453,0.176,0.172,0.190,0.278,0.139,0.249,0.453,0.176,0.326,0.100,0.138,0.453,0.453,0.098,0.136,0.355,0.184,0.184,0.184,0.326,0.108,0.100,0.150,0.136,0.136,0.453,0.453,0.150,0.453,0.139,0.453,0.194,0.108,0.108,0.190,0.100,0.194,0.194,0.184,0.194,0.100,0.098,0.214,0.190,0.194,0.194,0.194,0.184,0.249,0.163,0.190,0.194,0.190,0.100,0.096,0.184,0.190,0.184,0.278,0.214,0.194,0.194
2045,0.161,0.145,0.130,0.093,0.145,0.161,0.121,0.293,0.161,0.148,0.093,0.310,0.422,0.159,0.161,0.113,0.193,0.150,0.159,0.104,0.422,0.422,0.237,0.422,0.098,0.161,0.125,0.161,0.422,0.161,0.422,0.113,0.083,0.083,0.093,0.422,0.161,0.161,0.214,0.161,0.193,0.083,0.422,0.293,0.093,0.093,0.193,0.422,0.145,0.093,0.422,0.093,0.310,0.159,0.422,0.310,0.083,0.092,0.269,0.248,0.191,0.191,0.093,0.121,0.093,0.161,0.061,0.191,0.145,0.422,0.075,0.121,0.145,0.237,0.104,0.191,0.422,0.422,0.104,0.093,0.113,0.422,0.422,0.159,0.159,0.422,0.083,0.422,0.193,0.155,0.148,0.237,0.113,0.214,0.422,0.193,0.293,0.093,0.130,0.422,0.422,0.092,0.104,0.331,0.161,0.161,0.161,0.293,0.083,0.093,0.121,0.104,0.092,0.422,0.422,0.121,0.422,0.113,0.422,0.159,0.083,0.083,0.162,0.093,0.159,0.159,0.161,0.159,0.093,0.092,0.191,0.145,0.159,0.159,0.159,0.161,0.214,0.139,0.145,0.159,0.148,0.093,0.082,0.161,0.145,0.161,0.237,0.191,0.159,0.159
2050,0.138,0.103,0.115,0.083,0.103,0.138,0.097,0.258,0.138,0.114,0.083,0.276,0.386,0.131,0.138,0.089,0.204,0.127,0.131,0.078,0.386,0.386,0.194,0.386,0.090,0.138,0.080,0.138,0.386,0.138,0.386,0.089,0.067,0.067,0.083,0.386,0.138,0.138,0.180,0.138,0.204,0.067,0.386,0.258,0.083,0.083,0.204,0.386,0.103,0.083,0.386,0.083,0.276,0.131,0.386,0.276,0.067,0.088,0.225,0.203,0.165,0.165,0.083,0.097,0.083,0.138,0.054,0.165,0.103,0.386,0.057,0.097,0.103,0.194,0.078,0.165,0.386,0.386,0.078,0.083,0.089,0.386,0.386,0.131,0.131,0.386,0.067,0.386,0.204,0.140,0.114,0.194,0.089,0.180,0.386,0.204,0.258,0.083,0.115,0.386,0.386,0.088,0.078,0.298,0.138,0.138,0.138,0.258,0.067,0.083,0.097,0.078,0.057,0.386,0.386,0.097,0.386,0.089,0.386,0.131,0.067,0.067,0.135,0.083,0.131,0.131,0.138,0.131,0.083,0.088,0.165,0.103,0.131,0.131,0.131,0.138,0.180,0.114,0.103,0.131,0.114,0.083,0.069,0.138,0.103,0.138,0.194,0.165,0.131,0.131
2055,0.119,0.080,0.104,0.077,0.080,0.119,0.084,0.225,0.119,0.097,0.077,0.245,0.350,0.111,0.119,0.074,0.205,0.109,0.111,0.059,0.350,0.350,0.160,0.350,0.085,0.119,0.044,0.119,0.350,0.119,0.350,0.074,0.059,0.059,0.077,0.350,0.119,0.119,0.155,0.119,0.205,0.059,0.350,0.225,0.077,0.077,0.205,0.350,0.080,0.077,0.350,0.077,0.245,0.111,0.350,0.245,0.059,0.084,0.190,0.168,0.147,0.147,0.077,0.084,0.077,0.119,0.051,0.147,0.080,0.350,0.047,0.084,0.080,0.160,0.059,0.147,0.350,0.350,0.059,0.077,0.074,0.350,0.350,0.111,0.111,0.350,0.059,0.350,0.205,0.123,0.097,0.160,0.074,0.155,0.350,0.205,0.225,0.077,0.104,0.350,0.350,0.084,0.059,0.267,0.119,0.119,0.119,0.225,0.059,0.077,0.084,0.059,0.043,0.350,0.350,0.084,0.350,0.074,0.350,0.111,0.059,0.059,0.114,0.077,0.111,0.111,0.119,0.111,0.077,0.084,0.147,0.080,0.111,0.111,0.111,0.119,0.155,0.097,0.080,0.111,0.097,0.077,0.064,0.119,0.080,0.119,0.160,0.147,0.111,0.111
