dummy,rgdpl,s,y,e,l,k
ARG,9926.382631,19.50836841,389557529.4,184.4838,18600897,1988985.625
ARM,4287.838391,19.56613036,12828570.85,4.2818,1488552,46160.42578
AUS,38157.72234,29.73860933,773218178.5,400.9607,11882313,2794573
AUT,36302.78876,24.27281641,296818732.7,72.1815,4357198,1247255.375
AZE,5440.444103,22.55341417,43698839.98,24.4575,4626430,131373.6719
BHS,31765.27266,28.02467781,9422558.819,2.4622,211650,15559.6748
BHR,22459.88594,39.57528091,20533609.73,23.6672,731901,134530.2656
BGD,1110.396911,21.61097157,160017879.9,55.8115,74546620,733525.0625
BRB,28176.6388,25.97384273,7885647.334,1.5022,162471,5675.945313
BLR,9453.398192,20.13082176,92812052.31,67.377,4463651,345755.8125
BEL,33823.10088,25.95345696,350296102.5,112.3555,4870949,1546251.375
BLZ,8821.729071,25.36573135,2481361.518,0.4214,134800,2163.773438
BEN,1156.331038,19.06420628,9020550.829,5.2475,4044796,32626.01367
BTN,3218.591579,38.55435926,2105172.783,0.4763,371224,18992.34766
BOL,3368.708923,10.62643928,30561104.06,15.5162,4805290,83291.22656
BIH,5120.278564,21.25424501,22439820.03,20.5227,1442008,86228.0625
BWA,9496.863849,46.11088811,17548768.64,5.03,1004404,75775.60938
BRA,7389.424021,20.30616275,1395674931,422.4304,103193816,6191473
BRN,47979.95085,13.30331547,17305927.73,8.0299,193895,56590.00391
BGR,8849.350299,20.9926927,66048174.2,45.8649,3347104,277343.875
BFA,840.3039598,22.01709799,11691906.87,1.6818,7233395,38540.5
BDI,387.1525666,12.62785045,3184753.37,0.3114,4401324,10602.19629
KHM,1472.748499,17.21304893,19652133.19,4.1447,8260386,63721.23438
CMR,1726.285888,16.4800713,29837585.26,8.2773,8405125,79900.17969
CAN,35951.05734,23.80789054,1165402531,536.9326,19066215,3321402.75
CHL,10941.1733,25.59365979,174811281.5,71.757,8344949,656154.1875
CHN,5109.290971,35.30855281,6628464744,8189.4415,782422530,39767296
COL,6606.238943,19.76671943,274132510.4,68.065,22655935,1236300.875
COM,927.2251743,14.44292614,624387.5319,0.1392,232659,3231.008545
CRI,10150.13948,24.17882105,42689954.92,7.1675,2248940,82057.26563
CIV,1323.244285,6.419430018,25058072.04,6.3292,7613812,44601.37109
HRV,13755.56484,27.86377794,61621686.65,20.3364,1874244,300122.9688
CYP,18283.00188,23.12860359,18442374.81,7.8832,586250,94581.29688
CZE,20330.2987,25.04381983,208156115.8,116.0471,5242209,917964.375
