,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CHL,CHN,COL,COM,CRI,CIV,HRV,CYP,CZE,DNK,DJI,DOM,ECU,EGY,SLV,GNQ,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GTM,GIN,GNB,HND,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LTU,LUX,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MRT,MUS,MEX,MDA,MNG,MNE,MAR,MOZ,NAM,NPL,NLD,NZL,NER,NGA,NOR,OMN,PAK,PAN,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,STP,SAU,SEN,SRB,SLE,SGP,SVK,SVN,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,TZA,THA,TGO,TTO,TUN,TUR,TKM,UGA,UKR,GBR,USA,URY,UZB,VEN,VNM,YEM,ZMB,ZWE
2010,40374224,2963496,22404488,8401924,9094718,360498,1251513,151125475,280396,9491070,10941288,308595,9509798,716939,10156601,3845929,1969341,195210154,400569,7389175,15540284,9232753,14364931,20624343,34126240,17150760,1359821465,46444798,683081,4669685,18976588,4338027,1103685,10553701,5550959,834036,10016797,15001072,78075705,6218195,696167,1298533,87095281,860559,5367693,63230866,1556222,1680640,4388674,83017404,24262901,11109999,14341576,10876033,1586624,7621204,10014633,318042,1205624648,240676485,74462314,30962380,4467561,7420368,60508978,2741485,127352833,6454554,15921127,40909194,48453931,2991580,5334223,6395713,2090519,4341092,2008921,3957990,3068457,507885,2102216,21079532,15013694,28275835,325694,13985961,424738,3609420,1230659,117886404,3573024,2712738,620078,31642360,23967265,2178967,26846016,16615243,4368136,15893746,159707780,4891251,2802768,173149306,3678128,6459721,29262830,93444322,38198754,10589792,1749713,21861476,143617913,10836732,178228,27258387,12950564,9647109,5751976,5078969,5433437,2054232,51452352,46182038,20758779,35652002,524960,1193148,9382297,7830534,21532647,7627326,44973330,66402316,6306014,1328095,10631830,72137546,5041995,33987213,46050220,62066350,312247116,3371982,27769270,29043283,89047397,22763008,13216985,13076978
2015,42267128,2989907,23927051,8536979,9638312,387901,1367991,161733545,287278,9235031,11171218,350852,11025259,785414,11123785,3812977,2075712,204314401,430288,7085217,18144057,10921441,15771107,23700866,35829505,17972802,1399787264,49822414,777279,5023198,21275343,4246733,1166580,10724107,5657822,909471,10724913,16330802,85040349,6468744,809591,1282022,101026726,898327,5458882,64970553,1761403,1972055,4302823,82411093,27279846,11100959,16456857,12502022,1805974,8516239,9879078,337296,1290151327,257210605,79328854,36132149,4727640,7919558,60944169,2827039,126487946,7805688,16843329,47305776,49540195,3599558,5637415,7142693,2023792,5072326,2141631,4559204,2988037,542298,2112935,24491147,17514147,30762669,359113,16257368,431870,4113029,1256522,126073521,3442967,2914133,622766,33422348,27411707,2422988,29227665,16830482,4610256,19268013,183700359,5141961,4153954,191491921,4009237,7084342,31358675,102532184,38099663,10621625,2357723,21517599,141550744,12624353,205291,30288343,15024573,9437779,6397421,5612386,5440357,2074063,53781747,47053579,21580094,40093938,551300,1303613,9685830,8220584,22414297,8555726,52797637,67596081,7212524,1346644,11251888,77014445,5412996,40699608,44503989,63836270,326073499,3437585,29953272,31467553,93927983,26164787,15540006,15252663
2020,44162112,2988166,25447566,8655329,10107866,410594,1501753,173438296,293810,8951227,11329862,396055,12809663,847935,12214051,3763979,2206657,212985260,459018,6753011,21301619,12957478,17251489,27386030,37467621,18769558,1427597978,53240946,883199,5356221,24003691,4159248,1222699,10784554,5764948,994659,11450324,17729698,92314263,6737394,942809,1259518,118396876,931840,5536145,66533572,1999022,2318217,4194185,81431317,30660320,11013061,18921303,14439037,2061537,9513360,9708830,355842,1377221239,273706747,84036655,41928337,4966126,8541917,60873027,2917224,124503661,8412031,17695499,54661024,50221087,4061551,6055424,8003286,1950549,4923602,2293197,5268288,2906699,573807,2113640,28621189,20564800,33196075,394811,19137866,436944,4687402,1277879,134399966,3330188,3106979,622395,35156756,31515871,2698656,32007644,16996022,4851761,23527832,212101112,5404594,4572439,212817299,4359300,7763679,33660120,112634535,37765611,10596622,2564744,21057663,138484285,14772664,234972,33391672,17441426,9191219,7140977,6038935,5414143,2079640,55982159,47427005,22355413,46014907,577889,1420626,10009118,8593070,26302486,9566068,62076782,68330265,8257555,1349498,11858723,81243577,5793937,49009258,42730695,65554433,339832086,3502391,32137562,33936716,98436619,30373555,18433045,17769663
2025,46057692,2981110,26936094,8753600,10449764,431419,1608696,185231054,299520,8629827,11462869,443590,14887004,910201,13405627,3696569,2355463,220935063,487042,6400097,25101264,15295099,18752766,31721903,38882270,19492670,1437445558,56617985,1004305,5657004,27196831,4059393,1268833,10780541,5875226,1084665,12180413,19180740,99716218,6988820,1096977,1231759,139298834,960715,5595088,67902663,2270884,2728281,4065048,80026154,34379994,10920953,21732347,16709478,2355601,10585761,9508498,373084,1464763942,290209892,87988278,48555715,5170494,9176604,60426675,3000888,121692585,9344424,18434523,63077392,50649250,4520395,6443821,8925961,1870024,5110028,2460109,6109069,2817744,602570,2100008,33499865,24237070,35609663,429570,22679162,438914,5338511,1292471,142894656,3207153,3273291,619158,36913009,36594984,3002713,35048959,17110795,5088644,28922097,245884991,5621852,4921482,236014272,4721773,8476653,36012334,123748252,37152646,10523333,2703049,20471617,134400392,17292389,267942,35990956,20233304,8904830,7982606,6296445,5347048,2071005,58335091,47474358,23012105,52860176,604380,1547280,10330360,8958211,29127725,10602993,73087489,68591709,9452231,1335430,12394094,85485799,6146528,59193261,40770894,67090492,353204659,3574784,34118336,36406552,102161079,35231905,21931297,20083001
2030,47892542,2957835,28372463,8821693,10686228,449647,1698999,196694275,303968,8285120,11572029,493246,17284944,970226,14678728,3606818,2528574,227841541,514009,6037368,29658314,18012812,20218858,36828445,40126898,20110811,1433916905,59909120,1145475,5918304,30889717,3950200,1307303,10716192,5977747,1176958,12911982,20672607,107309099,7234213,1276575,1201350,163661900,987333,5630601,69190762,2582553,3213296,3937444,78274838,38461969,10806754,24898180,19350832,2693567,11721795,9282103,388551,1550052259,306693953,91272853,55711057,5353242,9846260,59844708,3068561,118277221,10317733,19128772,72797148,50753201,4974115,6802668,9899245,1796569,5248747,2642388,7100208,2722174,628203,2070963,39166244,28648842,37871953,462100,27048064,437347,6075178,1297554,151155375,3063297,3417604,613018,38514723,42840974,3327100,38195652,17158039,5313735,35736181,286392458,5828583,5179039,260058787,5089137,9210687,38365396,135468763,36289624,10416744,2824103,19790358,129960412,20166646,305893,38214404,23459135,8575611,8943859,6514568,5240152,2051805,60818994,47338669,23590458,60677956,629537,1687890,10619319,9301308,32133926,11677466,86366651,68358705,10828659,1311665,12831738,89604512,6463516,71653398,38760651,68447445,365834226,3642587,35911129,38859343,105150333,40611451,26129631,22552298
2035,49673837,2927560,29764321,8856100,10869278,465365,1785928,207900135,306895,7931205,11660770,545271,20056548,1029047,16038462,3494207,2723982,233648892,538700,5674509,35141629,21302206,21722415,42878968,41195893,20619578,1422184806,63118420,1310233,6141527,35181160,3831206,1332510,10618136,6063659,1273827,13651421,22205393,115299039,7458920,1488270,1171399,191911111,1014362,5643512,70356284,2940794,3786816,3823978,76286318,42982405,10681747,28477934,22436476,3085342,12936976,9037070,402168,1633526615,322872881,94209821,63711504,5530243,10564295,59148474,3119606,114430662,11392626,19869832,84113842,50415226,5434074,7159621,10958049,1725011,5337501,2850386,8269732,2627275,649477,2029582,45751045,33934391,39917471,493655,32431870,432699,6910746,1292069,159067016,2912987,3556207,604098,39953249,50449769,3672892,41476121,17121905,5525190,44330062,335157516,6017860,5377718,285199802,5458829,9972082,40708377,147731466,35236908,10279733,2934063,19050425,125368886,23464613,350188,40577353,27204383,8203595,10046715,6676760,5102816,2026272,63547159,47105949,24127275,69605009,651836,1851219,10879456,9613442,35276342,12858340,102428897,67608346,12432972,1281980,13190681,93495074,6759760,86975361,36790018,69650639,377554535,3703627,37656004,41309030,107607035,46541553,31183525,25279202
2040,51412319,2885935,31136126,8862766,11014309,479048,1870725,219036343,308382,7567898,11727295,600206,23280633,1088626,17511667,3363546,2942973,238437376,560009,5315846,41770703,25384999,23331173,50091346,42119630,21028541,1402592517,66264005,1501063,6329716,40209485,3700825,1345858,10509302,6134018,1380185,14404304,23780706,123803545,7674451,1740205,1142517,224975753,1042228,5641715,71352711,3353654,4465696,3718994,74106039,48028733,10538169,32561947,26064618,3542973,14252382,8783624,414078,1717553151,338430224,96951548,72725948,5705062,11327353,58310800,3157658,110278932,12616726,20679318,97325359,49651784,5912157,7532922,12136836,1657161,5389086,3094814,9652956,2531371,665287,1979408,53455415,40281297,41770222,525980,39046863,426009,7862479,1277428,166633611,2760084,3695798,592728,41249433,59684915,4046618,45073868,16995344,5727448,55158368,393906862,6193422,5554565,312431284,5830970,10776243,43051859,160735049,34033322,10103181,3037425,18264376,120570052,27315077,401225,43349197,31567466,7796574,11320300,6783261,4944426,1995985,66550457,46761292,24620810,79852742,671303,2044127,11141258,9898171,38578356,14187872,121850507,66338618,14311060,1247397,13506996,97116348,7054209,105928845,34820894,70757149,388489272,3756757,39405003,43772190,109576658,53247034,37274559,28398496
2045,53104219,2825870,32505585,8843941,11102117,491185,1950318,230075895,308801,7190526,11766410,658236,27048446,1149263,19124649,3219871,3186885,242222720,577682,4961408,49804482,30449094,25047737,58676365,42928321,21346024,1372436814,69356059,1720954,6483532,46125802,3559810,1348483,10389822,6196446,1499631,15169936,25398373,132790139,7882250,2040965,1113245,263947540,1070074,5637575,72189307,3827821,5270138,3615516,71688960,53668926,10358607,37232575,30339604,4079063,15678226,8525555,424381,1802977794,353335558,99368747,82969216,5872047,12120791,57272971,3184557,105946837,13982646,21515626,112726737,48518285,6406856,7920651,13445085,1591070,5415022,3379834,11289758,2432845,675157,1922165,62495829,47925626,43512346,559316,47164008,418315,8949884,1256284,173875287,2602606,3831303,579711,42433416,70900083,4455344,48981531,16796482,5925788,68808400,464626956,6362844,5796106,342422303,6206612,11634408,45403018,174755273,32700305,9879152,3128506,17427983,115626607,31826758,459011,46502768,36648840,7368412,12797915,6846776,4769354,1959473,69807511,46208411,25049529,91685612,689023,2270467,11422737,10164115,42088462,15660992,145204266,64582278,16508321,1207048,13795479,100423299,7349398,129376117,32815004,71781123,398945575,3802625,41087433,46254041,110918534,61017835,44617227,31984623
2050,54736862,2747514,33870941,8796689,11123008,502073,2020490,240825437,308641,6802237,11778875,719197,31456628,1209783,20892265,3066245,3453442,244951813,592225,4608471,59543264,36621837,26835451,68848951,43648337,21575618,1330942987,72391162,1974866,6602772,53090275,3411795,1340044,10249998,6259062,1632804,15946822,27056558,142160377,8075937,2400186,1082247,310009507,1097721,5639098,72930410,4371493,6224377,3516922,69003748,59958556,10132386,42558828,35378127,4706239,17218254,8262382,433069,1889283170,367821337,101210098,94643180,6021529,12937847,55996575,3201028,101571117,15452646,22338071,130626051,47048066,6905181,8308619,14875093,1524772,5414350,3704414,13226065,2329690,679017,1858548,73095464,57128178,45204122,592254,57133290,410117,10195581,1231209,180775817,2438772,3954978,565794,43524720,84527472,4904312,53158162,16559507,6121869,86019658,549755512,6529841,6080782,375252602,6586123,12550937,47756058,189979387,31268542,9607934,3194657,16538093,110598699,37098935,524163,49763981,42556247,6928109,14519282,6877497,4578802,1916215,73273754,45356469,25404910,105385323,705798,2529953,11721252,10415562,45862413,17258855,173220669,62411658,19073675,1160839,14041043,103389945,7633789,158255258,30787231,72697769,409289726,3841708,42628174,48754682,111497068,70070658,53472426,36038066
2055,56293462,2660568,35146602,8708227,11094252,511152,2077230,251355058,308047,6414887,11765171,782320,36612981,1269064,22838593,2905411,3737349,246651579,604387,4262050,71359917,44049030,28676503,80892089,44210272,21707110,1282091882,75396585,2271107,6687481,61276436,3261695,1324852,10064400,6319518,1779813,16751240,28760560,151948834,8268588,2827572,1049480,364331516,1129342,5643246,73596253,4993999,7356871,3432873,66097635,66981771,9857076,48614631,41311665,5440482,18882191,7979446,440868,1976101857,382351130,102314072,107929089,6142048,13784421,54429594,3216937,97203030,17014673,23150944,151387266,45277087,7389267,8691111,16432274,1458273,5380876,4060373,15519754,2222256,679750,1788913,85502545,68188796,46799105,623220,69422307,401176,11626912,1203158,187371902,2311760,4066602,551602,44562062,101005726,5395503,57609532,16309235,6308630,107720765,652419648,6683932,6361129,410698727,6969487,13529948,50121815,206526719,29775624,9287992,3220477,15596812,105558132,43241693,598476,52847923,49431299,6486421,16536700,6866935,4371028,1865688,76865895,44145670,25731752,121259901,727506,2822538,12004055,10620218,49912131,18999441,206817978,59929219,22067607,1112077,14222740,106014275,7902425,193761403,28789765,73420073,419355432,3876609,44068101,51276313,111347278,80513651,64158947,40553459
